epoch,accuracy,loss,val_accuracy,val_loss
0,0.758569061756134,0.8003048300743103,0.8308255672454834,0.4899255633354187
1,0.8884003162384033,0.35479745268821716,0.9190259575843811,0.24918654561042786
2,0.91929692029953,0.2604143023490906,0.9383290410041809,0.19918183982372284
3,0.9344412088394165,0.21334345638751984,0.9537715315818787,0.16514374315738678
4,0.9436797499656677,0.1819317787885666,0.9608988165855408,0.13025794923305511
5,0.9490825533866882,0.16425031423568726,0.9588200449943542,0.14573274552822113
6,0.9546958804130554,0.14556385576725006,0.9546624422073364,0.15290547907352448
7,0.9582042098045349,0.13372802734375,0.9579291343688965,0.13942112028598785
8,0.9614903330802917,0.12145214527845383,0.9658483266830444,0.12020311504602432
9,0.9632093906402588,0.11547355353832245,0.9652544260025024,0.11926603317260742
10,0.9666124582290649,0.10529954731464386,0.9661453366279602,0.12339203804731369
11,0.9683432579040527,0.09890550374984741,0.9657493829727173,0.1200944185256958
12,0.9695711731910706,0.09345315396785736,0.966640293598175,0.12145739048719406
